Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population
Eritrea,176.105104729,147.558733075,19.290982063138,51.607145397794,9.28732542426,5.47608965384,23.0332819997951,9.64372631637665,2787,164,519,6,411,18,22,45386.0,3170435.0
Estonia,121.325600271169,112.390449561405,16.0118223735653,88.5796135141568,34.801759144641,10.3644746712026,17.701101983344,10.2217830781638,3676,731,226,0,35,13,1,15462.0,1331475.0
Eswatini,105.7652911833,49.02503292333,7.6680167009872,23.372062604399,13.40335761005,17.5484146397,15.8446287229314,9.28945226217814,906,93,188,3,126,7,7,17715.0,1064837.0
Ethiopia,10211.5012048314,3652.35324306511,643.678222708396,2442.46297296047,175.40793075435,69.2458914108157,1448.9916860603,638.801210193124,30514,1674,7925,85,3916,232,259,631388.0,87639964.0
Fiji,12.19194113866,36.223388696925,7.52609947673692,10.02682850256,10.8867085693,7.31102438241,2.08003946965328,1.49067173386816,648,56,125,0,223,4,13,6624.0,859818.0
Finland,759.567848715561,818.452785362546,57.310630188016,162.840899430081,194.054973267976,188.583286213916,76.7981318455381,57.6075145490863,12470,2318,1370,30,108,222,14,50636.0,5363352.0
France,3143.9472478733,2735.83643305965,903.733865088585,935.020669835571,948.0865028482,294.654786249366,278.638396034663,188.673186220443,175350,37932,14391,689,1150,1927,455,543965.0,65027507.0
Gabon,483.811007407,341.84512813,20.70874032907,164.82354808774,45.8103954291,17.7689454179,79.1038849123702,40.9901239982044,1132,157,184,1,93,8,4,12699.0,1624140.0
Gambia,68.3682080632,47.94856876684,4.759366529507,18.926178086848,5.105307577,2.4855967431,7.2402524955783,3.57804765207619,764,52,183,0,125,4,14,13076.0,1793196.0
Georgia,112.72857777,166.9694221462,23.020183490803,53.787069658513,17.8920821934,5.80022486404,13.4296698594597,7.01735966519989,8011,1658,1115,1,142,68,39,49265.0,3786695.0
Germany,3866.00915570534,3526.70656075531,804.944358865527,1432.74613306114,1238.70898395586,504.635264001367,232.084540033839,134.569130509915,256325,53101,32191,521,1295,2568,232,857889.0,81776930.0
Ghana,1343.86079124,436.1894460485,59.06910716377,381.16449319042,95.8512644259,72.36981881782,137.038342746438,58.7740906700817,13256,986,2718,3,1923,85,326,204522.0,24779619.0
Greece,608.804133175,526.8815567092,76.781493862873,146.940376379516,335.172847852,317.466407389087,42.0234250871002,31.7414439383751,30996,8109,5379,2,80,288,12,104890.0,11121341.0
Greenland,3.29473586311,0.76869315358,0.049049728334,0.78669288784551,3.43786249456,4.2584749923647,0.195096802611278,0.172780870608572,138,48,23,0,1,2,0,418.0,56905.0
Grenada,15.3323689283,1.143738182298,0.2286350859134,2.77228445370219,2.475363035867,1.1772332358,0.350553741905066,0.22440871877167,157,13,12,0,2,1,1,889.0,106233.0
Guam,0.023736053,2.81466062143,0.09786522692,1.03702130940463,0.00570448397,0.00013406962,0.011854621432791,0.0032690865351628,153,45,28,0,6,5,1,1037.0,159444.0
Guatemala,1624.1856477249,405.53506198195,107.25282176265,301.17054295144,97.57842987828,62.255174288093,182.682965451139,97.746640978635,10078,712,1201,1,320,151,71,73022.0,14259687.0
Guinea,950.0306275883,474.4698488674,55.5655075126876,206.449736870645,27.3706644623,11.550618524,146.171007517172,69.3439263792401,7505,500,1450,3,1147,29,110,116838.0,10192176.0
Guinea-Bissau,201.5134012595,65.46234690574,12.6873842825203,42.469902926907,6.4322423851,3.0647346891,30.9416813776156,14.130172824619,806,73,172,0,157,3,19,16570.0,1522599.0
Guyana,64.2784012089,51.654153955707,8.99406002119901,15.2116987663089,15.09887100009,7.65586193775,8.98438440857566,5.87225062636365,653,43,63,0,29,6,3,5358.0,749436.0
Haiti,1293.3657853,324.346955787,58.8385473085,341.54493800651,33.807787865,11.721919782,137.807035427296,53.7634122075083,8297,613,1711,9,1065,109,141,315305.0,9949322.0
Honduras,1129.392824365,276.859663435,50.6235889515,217.443756452387,120.0141125661,68.393329987,72.3056919035635,41.3184030762351,5281,893,2061,10,340,161,72,37607.0,8317470.0
Hungary,630.82865087228,438.26288933521,105.872810262347,158.344987039211,135.00861647581,101.153410576477,75.684537761959,42.2329584674688,35550,9429,5026,38,139,161,58,130612.0,10000023.0
Iceland,109.439787236261,21.0997947559692,4.737614731181,3.2510353782236,6.0494153737004,9.21200540031804,2.64393708197272,1.70201950109758,589,137,82,0,3,6,0,1894.0,318041.0
India,61370.6776378923,32008.8055901982,5537.94825424869,11775.7316080239,8172.1609367336,8591.85469852669,8268.49960506408,5223.714974767,655270,59636,661288,2564,174729,42270,9298,9261253.0,1234281170.0
Indonesia,26137.229965301,11354.854786298,1512.54826224486,4610.62824924385,2056.757688418,2042.1610518971,2187.37790683273,1367.14575661566,177356,35894,65513,47,27193,1280,1014,1540545.0,241834215.0
Iran (Islamic Republic of),8889.2350226028,6213.6985041493,519.034259907735,3201.90327946431,2162.3086772169,1249.72379564184,171.526988167104,97.8461015350158,46638,5819,9334,46,3846,223,99,353709.0,73762519.0
Iraq,2589.35248894,2222.471746063,60.86836629399,980.993105866165,698.29701149965,960.89826902202,35.8183246441033,26.9083945211533,15768,2439,1304,19,1238,108,186,133826.0,29741976.0
Ireland,206.14423811345,683.77947615008,169.49462050802,81.2857615593393,83.59993089288,47.9880726446547,20.5411300830658,14.0671810817641,8620,1923,1667,4,48,222,20,27514.0,4560155.0
Israel,108.650936701722,304.96060750335,26.024729684264,119.173860782909,246.5755800772,161.7831489097,42.689928417662,23.2604662883894,11899,2083,1359,2,113,114,20,39788.0,7623600.0
Italy,2794.83732732714,1872.83650389162,542.82788396845,934.341640714818,918.106421361669,339.655011432337,248.856333313445,166.401942623741,177191,36533,24216,510,537,1853,206,585609.0,59277417.0
Jamaica,734.99540086,93.6745502083,12.07462617006,144.136910762672,62.097663098,66.3685328559,22.2394906778072,9.75724608604012,3606,498,479,0,74,19,11,17322.0,2810460.0
Japan,6059.15337643436,2338.87494276442,292.637083670998,1935.91576640741,2252.86210880054,1210.94047018561,290.186734261768,193.725037795074,390730,77445,30476,1130,2288,10826,431,1207078.0,128070000.0
Jordan,55.7454171403,174.9318933497,9.9075230337,71.37177870919,64.63013537532,108.7341668783,6.00259327434426,3.5978113560478,3060,491,339,0,105,78,2,20493.0,7261539.0
Kazakhstan,1633.12396568,2235.0049435537,136.262323641297,575.908335845083,704.9704078241,1601.1250710846,185.870197426889,141.63860111524,20858,3706,4960,63,1072,104,136,146264.0,16321872.0
Kenya,3834.01563039,2125.812675638,280.6197122268,1106.68147329371,147.6789190042,77.365749002,537.298318052017,199.221447227807,17121,907,4137,40,2013,158,156,307103.0,42030676.0
Kiribati,0.5220108518,1.212752340163,0.2594172050951,0.6165083766849,0.47159296633,0.300889552381,0.0558405241484,0.0266707592373,106,10,24,0,37,0,3,975.0,102927.0
Kuwait,156.82533047,1130.2867086389,10.5642002851,407.761121564503,195.0103104591,748.9262166707,12.3803763030853,7.98559407731542,1023,133,91,0,32,27,1,6089.0,2991884.0
Kyrgyzstan,76.804425053,230.2609513951,35.2097312091,90.2052047019318,25.91386496796,28.98643639765,9.61529016774884,6.66362494207506,3533,462,1792,0,76,10,10,37065.0,5447900.0
Lao People's Democratic Republic,558.433294969,361.38619777307,61.124716507357,104.562003816782,22.42762185005,27.4805729672,73.7784920517787,47.7426716017548,3867,735,1525,1,872,26,26,48587.0,6249165.0
Latvia,238.32600920258,88.72017321595,21.0197088796969,49.9581364102709,37.221910150902,7.29091069243813,28.290737137683,16.481849258094,6072,1103,377,0,45,17,4,29961.0,2097555.0
Lebanon,172.169344367,92.37525678072,14.646303713368,91.0542031457,117.543257540683,175.55042621327,13.13771841536,6.80462523247314,6094,1233,733,1,292,36,6,26095.0,4953061.0
Lesotho,206.5005385982,64.30202291823,11.6678228152037,47.948777232234,7.3690607426,3.4743156739,26.2175345347563,13.7574407882514,1957,208,743,11,402,20,17,33164.0,1995581.0
Liberia,524.5984563382,76.16981342233,19.4583436667837,112.196441697227,11.0470333247,5.457464238,81.4078959465007,36.6973857685021,1637,142,280,0,197,5,30,33129.0,3891356.0
Libya,1575.809575884,1201.9818181125,22.005254166698,718.1946918262,305.21275985922,248.16606223269,23.9582512922316,16.8249963741878,3812,676,510,1,253,33,8,27476.0,6197663.0
Lithuania,207.40605553222,181.5656347952,54.6544148546208,98.976046842332,45.42036451912,16.9305443480106,27.6509565305433,16.6787418307706,8482,1485,810,0,44,16,4,41868.0,3097282.0
Luxembourg,37.6258453735,24.5308938064855,5.58850115412447,10.9916988460157,38.289093534842,1.87357958614437,3.52871456012166,2.74408450240381,1167,266,172,1,10,10,0,3765.0,506953.0
