Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population
Qatar,125.6997961416,2110.31595740483,6.525366885614,400.325586440259,137.09073344965,23.309962240838,6.52350339760765,5.31382846434605,465,65,31,0,6,2,3,2682.0,1856327.0
Republic of Korea,3411.57815866759,1411.15823479626,160.736679356702,785.079939305067,1483.63029055932,914.846360668174,203.812696921301,136.048098917809,81053,17173,7846,401,2346,1064,74,256111.0,49554112.0
Republic of Moldova,95.533662683,158.4538631188,21.789061588073,44.2931258773663,29.3718650496,8.20939717515,9.93341529926059,5.90915358797547,6607,1113,1296,0,59,13,5,47434.0,2861487.0
Romania,1129.7966901319,861.29438994729,219.687629336233,233.739443830867,236.114313009,380.397251406012,157.04367406916,88.1061927275084,49330,10530,7155,45,321,501,24,258978.0,20246871.0
Russian Federation,9149.6830398212,16501.3446183145,1051.42069613941,4203.79540769306,3928.10650689499,2372.64388771882,469.296258174162,308.498370922323,302032,56726,36308,285,2764,606,350,2119990.0,142849468.0
Rwanda,464.1507859723,150.60099657214,28.1782999852839,105.254578722088,13.4921471299,6.641576885,72.3778777614979,34.4051512334639,4890,301,1182,11,699,40,53,69333.0,10039338.0
Saint Lucia,5.257474853,3.249826581755,0.4450183103834,1.6292173124906,3.08020498893,1.558459900142,0.208592526784089,0.106038851756635,202,17,29,0,6,2,1,1083.0,174085.0
Saint Vincent and the Grenadines,3.21147667533,2.035487017255,0.4153604832922,0.95236793498766,1.5763521767,0.796239493588,0.138444701742182,0.0889227789477783,154,10,10,0,3,0,0,829.0,108255.0
Samoa,3.7837335608,6.111431636539,1.5030858824355,1.6800118581427,0.955368822757,0.7894264428178,0.539249855419644,0.274686201155312,133,13,69,0,26,2,3,1007.0,185949.0
Sao Tome and Principe,11.23937626335,2.815310477135,0.48558503206243,3.1808165221642,1.291012242745,0.5753433919,1.03605582840717,0.464096658691196,111,14,44,0,25,1,3,1018.0,180371.0
Saudi Arabia,1373.845653963,3028.55973672376,82.150285951,1504.42559271259,1710.619979972,2710.014040543,90.6957204632052,62.8103829550552,8974,1025,1801,2,926,477,50,84009.0,27421461.0
Senegal,632.60016841,362.648679872,58.5272319884,195.455274441923,55.4388834566,52.3634767332,85.0976518081549,33.6433297425641,5921,653,1254,2,881,32,98,87243.0,12678148.0
Serbia,591.526755088,314.3252963127,94.865821215285,200.00344638902,150.0254987517,358.31414190292,90.8908773477592,57.7703227153656,27476,7060,3540,6,366,70,24,120276.0,7291436.0
Seychelles,5.8972320614,3.198547055958,0.148371055056,5.408651233928,6.292367901969,4.04151749043,0.304458356936532,0.228939084657846,138,14,20,0,6,0,0,683.0,89770.0
