Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Population
Tajikistan,70.448364454,177.6952026777,27.65618119516,31.0808594489802,6.07646257582,8.329619843,2.83477491805003,1.77524030342674,3765,420,1023,0,287,128,105,6789321.0
Thailand,9456.7376753562,4117.14786875,517.679555993948,1895.27823338704,847.73058907973,828.036336089999,825.672088616719,462.029548354054,77494,15830,17977,8,3914,212,269,65416189.0
Timor-Leste,20.682071602,46.619424783002,4.38661771749227,5.60224218473185,2.0772144678,1.1904004766,2.05548246569456,1.41642587334733,427,80,192,0,110,3,3,995135.0
Togo,556.9758561681,131.34747643693,27.48131601664,163.831663816764,11.6400525671,3.637814259,78.2766212084882,26.1279295193203,2194,219,457,1,397,11,48,5611640.0
Tokelau,0.00224081,0.0095052486,0.007325509138,0.001129394008839,0.0004535215,1.26654e-05,0.00041172818106,0.000180680503447,1,0,0,0,0,0,0,
Tonga,1.008820487,2.637367982204,0.7547456300667,0.8300413482795,1.18684955146,1.064033472864,0.0911201364296,0.05897520573465,109,19,28,0,9,1,1,100905.0
Trinidad and Tobago,119.0167318218,499.35175023753,10.71871269338,76.9335337430309,41.167059147111,8.447486188076,3.98346481265402,3.13554945695384,1467,138,128,0,59,17,3,1296502.0
Tunisia,403.4931704139,324.11907592308,42.420954805283,157.816847121642,73.011276040209,50.497060154014,55.8714858434866,24.34040663065,6636,1635,1310,2,675,66,13,10106771.0
Turkey,3679.05292844781,2301.72264919247,605.016202212653,805.87803402327,749.417838422759,1282.5647228827,411.41977907755,282.564175146432,61356,14061,19095,67,2418,665,232,67903469.0
Turkmenistan,292.444907984,1512.6852340895,75.4269491826,112.399021728665,95.94125151,19.996340048,6.6765242311731,5.21698231372494,2506,254,387,0,91,15,13,4754646.0
Tuvalu,,0.2070634245,0.09033554434,0.03186316723625,0.0035187178,,0.00253004175,0.0004573858064,11,2,5,0,2,0,0,10000.0
Uganda,2734.669427039,675.65671128839,149.720356659895,578.16995880519,53.7435505057,23.76152878913,439.403589076522,200.917025506797,13782,614,2636,34,1731,100,114,27684585.0
Ukraine,3338.67004837504,2880.9805033418,344.050321487639,985.575039776287,891.911398736191,946.676335953119,174.288238517773,128.77698945831,102059,19067,18625,245,580,548,167,47105171.0
United Arab Emirates,810.565828752,1220.9026700503,11.08077252685,907.211218678467,409.34344654289,71.84842414815,19.5412068695499,14.1114564093174,1612,163,349,1,234,21,13,4588225.0
United Kingdom,2959.06131260218,5073.97098214537,517.789037686112,920.736516111961,1370.30229311147,508.166180124368,128.565841203488,86.9384431439718,164065,37770,36610,376,1423,3552,299,60401206.0
United Republic of Tanzania,3352.8499541746,1293.1088230156,221.02714942556,805.224267515215,104.7437286049,40.3434222828,491.622612768234,229.276630191885,20081,1363,3144,36,1942,119,131,38450320.0
United States Virgin Islands,,1.8780476788,0.0856486951521,0.62639480172975,0.006564873005,,0.002055780009477,0.00038326406888694,207,27,12,0,3,2,0,108454.0
United States of America,60200.5593659742,22847.9942406463,3814.81401781943,11556.1700743995,15743.8805183818,11533.936533771,2489.40671215608,1612.18593014313,608327,176054,145262,1093,4206,15386,1729,295516599.0
Uruguay,256.519979251,972.82428501011,89.1644176443799,47.9389761937903,37.5160705471,26.488248964,18.6123307269664,11.8044534032862,9021,1568,1657,1,145,105,16,3321803.0
Uzbekistan,550.325882235,1874.95328064699,151.207716014282,237.95361778928,195.651158301,136.0418435186,16.7282256091739,11.5330647922552,16609,1966,3317,7,1472,285,200,26167000.0
Vanuatu,4.7580084827,12.920268852734,1.88933289307726,1.7145299521363,0.77311019,0.580751334421999,0.6833860598894,0.3526220721441,124,22,72,0,34,3,5,209282.0
Venezuela (Bolivarian Republic of),6289.55829754,2788.176675957,200.2883618813,1784.88488999737,587.73788713,402.201174702,62.0534357861539,43.1733325608155,20326,3302,3469,5,317,207,34,26432447.0
Viet Nam,7117.212228774,4046.832596056,560.9736934708,1354.58240717372,572.642837066,444.667815854,733.609651814969,483.736766009141,68751,14354,23134,16,7092,460,222,
Yemen,349.148005486,504.2893506833,35.49969165046,238.931260177487,116.2024227357,138.83439663723,12.1735881795753,5.39006180855436,7551,807,2212,6,1789,72,29,20107409.0
Zambia,1412.717504938,336.242651483,67.4022599843399,365.221016341427,35.599947458,56.477017434,201.085751416377,85.4478249642022,6253,418,1123,15,765,38,44,11856247.0
Zimbabwe,1358.458669452,462.571069384,81.0232596597,243.984714080179,71.3167868853,85.58785808,215.849200704545,119.530532088157,9261,770,1015,5,1315,32,46,12076699.0
