Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Population
Eritrea,161.17737733,141.2695042341,19.30995605125,45.980927620365,11.4892356526,6.132128967,20.3322023901112,8.74346115706333,2476,144,460,6,396,16,21,2826659.0
Estonia,109.348244348048,93.995680913146,17.1382454442201,77.745619822475,39.6420060243,12.8876059483581,14.2208613920684,8.59954974726451,3605,728,229,0,47,14,1,1354775.0
Eswatini,116.9927464676,59.12901697516,8.22549103738529,24.332980021818,10.9607479859,14.5281999576,17.6325775508355,10.174984433094,912,90,195,4,142,7,7,1030579.0
Ethiopia,8903.2798472,2817.7618953705,505.0647686907,2127.58058400895,142.9472595928,58.132161068,1263.18319780543,554.857303116187,29681,1515,8045,97,4562,211,258,76346311.0
Fiji,20.1140048088,37.745753009602,6.4178004696934,13.566365377279,26.23999408337,20.579238549424,3.90004497531565,3.0815101117751,526,47,118,0,252,3,12,821604.0
Finland,837.5132955145,812.645296356555,59.6648254783521,160.43396670101,215.506030637,180.239270961019,72.7807749215985,55.0296104507031,11420,2120,1242,25,103,171,11,5246096.0
France,4479.83456992744,2774.43111396565,890.060697005531,1030.00282095429,1198.50445064872,399.114158073335,288.360468107343,198.309861314644,163020,33290,13840,771,1347,1654,420,63179351.0
Gabon,323.0598904,446.992502736,13.32070475651,128.699974085561,29.7739136069,14.5214404214,49.8742535450597,26.3932111155047,1054,143,182,1,99,7,4,1390549.0
Gambia,53.24386949849,34.88960155733,4.16176500329494,15.3098274837574,2.67206657776,1.38548250862,6.08997154711383,2.85024615383542,690,47,162,0,120,3,14,1543741.0
Georgia,128.698729122,197.0014844816,27.156653127224,58.50397849261,15.4911965561,4.74528625442,12.9181044446583,6.6684371898657,7133,1465,1106,0,183,59,39,3902469.0
Germany,4847.84207911552,3547.46329029462,793.205401614299,1482.1652147038,1472.48668261078,547.85531352852,225.138001132691,133.96374502641,259893,52329,27395,469,1881,2018,194,82469422.0
Ghana,1193.39061512,357.681139358,51.21799089338,327.4646000205,64.51011259128,41.49642031106,126.265352688179,57.1977313640637,11580,844,2249,2,1757,76,266,21814642.0
Greece,921.158073363,565.70501394742,80.579215350901,175.38019633897,391.07211667368,392.225053475021,46.7315495440317,35.1702585703106,30362,7937,3596,2,72,168,9,10987314.0
Greenland,3.696142216,0.762297755805,0.044629500058,0.81244804076187,4.097697173119,3.902942709467,0.175951652809585,0.161473622959043,126,44,21,0,1,1,0,56935.0
Grenada,13.3015592092,1.146853949819,0.2035989984197,2.47009388786078,2.228728315687,1.00645951912,0.338748652755706,0.223128991115588,142,12,12,0,2,0,1,104661.0
Guam,0.0229077366,2.78473007213,0.09765532644,0.97734549447162,0.00566495089,0.000129409566,0.011797323877616,0.0032159454410077,127,37,25,0,5,4,1,158402.0
Guatemala,1250.508407714,319.022196976,90.49396160546,240.36470714816,131.45670122764,75.13986207775,139.252045543244,80.4408799100803,8697,654,917,4,333,118,71,12948292.0
Guinea,880.5411480255,334.41924555007,46.7144791188444,190.995144982295,22.8480971504,10.743458107188,135.448129146289,63.5846529483724,6945,455,1351,2,1096,28,95,9109581.0
Guinea-Bissau,180.29097931644,52.66069417898,9.84914446199692,37.875262981313,4.88631739545,2.487787520463,27.6871587557481,12.729781682589,711,65,156,0,151,3,15,1344930.0
Guyana,66.0613736353,44.770038777951,8.98843863362301,15.4531475110101,15.26498440942,7.11380574285,9.50241135021358,6.26620653880215,602,38,56,0,31,4,3,746163.0
Haiti,1219.7686315,291.4416392,53.5728758708,307.52548931783,30.983910817,9.259468539,118.410212437146,46.586395869591,7465,548,1537,8,1032,94,126,9195288.0
Honduras,866.12605281,217.928912834,48.0337551666,185.180620217478,115.1336068257,64.9497604187,63.7722289407174,37.1200295110884,4140,673,1575,8,335,117,70,7458985.0
Hungary,586.50929953369,470.277094803976,119.616723207039,182.085037990164,174.50252141147,125.612259047264,49.2484289765279,30.4937785061862,36323,9418,4439,32,199,148,63,10087065.0
Iceland,56.9788355176,22.24102635851,4.675504243428,4.066069503003,6.35985358639,5.96733936057,1.69762503666681,1.25733737639921,542,124,77,0,3,5,0,296734.0
India,50400.094764113,29657.3569484417,4752.83455700567,10047.4378401348,5944.7736288896,5627.09746619438,6897.66038555473,4260.60630222278,550410,47816,583797,2293,165511,33630,8149,1147609927.0
Indonesia,24426.70491222,9243.52400722505,1313.24355839743,4212.8376238695,1815.876064311,1821.62946976503,2077.19483285569,1278.79646274645,154287,29979,59777,43,26990,1092,911,226289470.0
Iran (Islamic Republic of),9325.566488908,5618.369677824,448.947752300095,3507.03777647202,1881.26213846211,1120.9874959442,138.916712814636,81.7523635172859,38187,4653,7488,26,4173,174,74,69762347.0
Iraq,2207.274650173,1737.69367057718,49.33002734193,981.91617569771,513.062324369394,584.771655946948,29.2607126964087,22.4454936535723,12712,1857,1176,16,1335,79,173,26922284.0
Ireland,357.46079817011,735.017710829521,177.473846506097,82.96463854124,119.63106366392,84.1704805086828,25.038257515804,17.6268116826983,8030,1763,1727,3,63,161,20,4159914.0
Israel,392.871098977257,260.4304517632,23.907007771257,177.618704691737,259.749646693,213.1108806647,41.68153648433,23.690341747652,10955,1813,1324,1,134,93,19,6930100.0
Italy,3980.39241647911,1939.76436816308,517.640720336339,1075.77374824925,1226.42417592163,580.575145431705,238.021762800327,159.47849005148,169345,35576,23113,601,695,1496,288,57969484.0
Jamaica,881.1358076311,105.14346916904,15.336423269107,167.722999065956,88.221916209256,108.102636941707,23.0684681027821,11.6776727286881,2948,391,435,1,77,15,11,2740003.0
Japan,6482.52109132377,2162.95467872288,312.132179503142,1997.04071340683,2648.34916093434,1367.35838551638,289.528363303508,193.103546254485,358278,68922,26630,1133,3081,8865,390,127773000.0
Jordan,139.391100725,135.5606231254,9.71847973518,80.71763760397,81.53333541568,116.78588089319,7.01362784444397,4.51374647934548,2434,313,362,0,118,58,2,5765635.0
Kazakhstan,1052.355527945,1877.21455732811,115.019582559926,429.395176723025,551.76519742,1434.0499797827,77.2784865297591,61.7910605402703,21141,4016,4510,59,1174,93,123,15147029.0
Kenya,3265.05035498,1471.99519410625,214.46856911692,935.1119550478,102.5626200485,58.7441144852,469.329118129621,173.009593930327,13178,738,3595,36,1772,126,123,36624895.0
Kiribati,0.35851999132,1.041714747253,0.21873980656923,0.4480727407148,0.3968489228,0.289210893189,0.0474063537251,0.02387443488677,93,9,21,0,34,0,2,92325.0
Kuwait,410.785279554,1234.3552323921,10.2248424271,694.211282665112,195.4665030976,734.1394795843,10.678869073055,6.69969645910985,832,119,75,0,38,21,1,2270198.0
Kyrgyzstan,67.8477797314,204.35161839228,25.311741293857,85.9127999568073,21.51714054966,25.792073029764,6.99358353497194,4.83454609210689,3444,460,2638,0,110,11,13,5162600.0
Lao People's Democratic Republic,470.9817468709,312.7200863923,52.444551950848,98.543511405271,19.01086488851,11.877515003,64.2037471072655,40.4555051826682,3576,667,1498,1,964,22,24,5751676.0
Latvia,318.913241863344,88.8618958003649,21.2576166421398,51.5149099010998,44.279522755964,7.2239365235931,32.5231619204571,18.1565689055346,6079,1192,378,1,68,19,5,2238799.0
Lebanon,261.01152579,87.2720536072,11.72474985154,101.27005261964,89.96745035454,138.2888716849,12.9922043693888,6.95673573428734,5083,987,607,1,299,31,5,4698763.0
Lesotho,185.62950835053,64.792005452708,12.1433370349944,42.700923279949,4.13526296855,1.827528458477,24.7512739382124,12.9268682506912,1806,194,762,11,410,20,16,1996114.0
Liberia,409.617102251,59.91950305416,14.534541115493,88.755120411203,8.133394835,4.1597781154,62.882196075547,28.4929692957001,1328,116,252,0,180,5,23,3218116.0
Libya,1223.773247891,1231.511153809,19.305912585908,638.62313284504,258.669423002247,261.66282762895,18.6796481759491,12.722370194747,2893,543,393,0,232,26,5,5798614.0
Lithuania,301.446578679892,196.673034733473,37.555399149873,113.606980972324,64.3997680495064,21.8075087620373,26.6384199013601,16.1651741808452,8435,1555,956,1,60,14,6,3322528.0
Luxembourg,74.0430243478,22.2680395936513,5.74102168659374,12.3446136374239,52.18169144501,2.2975082861017,4.11775222716149,3.29334486175578,1115,259,158,1,11,8,0,465158.0
Madagascar,1007.518764308,727.6829116904,94.7566780577999,252.941736105465,34.18851014932,16.3622272228,130.562271341223,63.5032897294394,7347,441,2540,31,2038,91,140,18336724.0
Malawi,390.4177921987,168.5508226367,37.51620281518,115.626820905059,17.47911286866,10.7809675266,52.0786812272174,25.5371751007067,7385,299,1164,16,762,39,41,12625952.0
Malaysia,4128.02359045,1940.2129281932,166.1901698736,1092.30818456308,544.5406758489,378.6949899689,147.57843471499,88.0246330945932,18053,3270,4547,1,1394,145,100,25690611.0
Maldives,27.333743229,2.13471286151,0.05147727202771,4.45345401032131,5.50901138332,4.49215784668,0.487115100562576,0.359615478984435,120,16,68,0,10,10,1,319608.0
Mali,422.4351686857,583.95579654089,77.3788912310173,107.11659013929,18.1670206809,4.5831395102,65.1760190307171,32.1213725607142,6071,380,1757,4,1338,46,128,12775516.0
